Date,BOVA11.SA
2012-10-18,58.7400016784668
2012-10-19,57.79999923706055
2012-10-22,57.75
2012-10-23,56.5
2012-10-24,56.13999938964844
2012-10-25,56.709999084472656
2012-10-26,56.290000915527344
2012-10-29,56.13999938964844
2012-10-30,56.630001068115234
2012-10-31,56.040000915527344
2012-11-01,57.43000030517578
2012-11-05,57.099998474121094
2012-11-06,58.290000915527344
2012-11-07,57.36000061035156
2012-11-08,56.43000030517578
2012-11-09,56.31999969482422
2012-11-12,56.0099983215332
2012-11-13,56.43000030517578
2012-11-14,55.02000045776367
2012-11-16,54.130001068115234
2012-11-19,55.2599983215332
2012-11-21,55.119998931884766
2012-11-22,55.310001373291016
2012-11-23,56.4900016784668
2012-11-26,55.650001525878906
2012-11-27,55.099998474121094
2012-11-28,55.5
2012-11-29,56.400001525878906
2012-11-30,56.5
2012-12-03,57.11000061035156
2012-12-04,56.45000076293945
2012-12-05,56.599998474121094
2012-12-06,56.77000045776367
2012-12-07,57.36000061035156
2012-12-10,57.97999954223633
2012-12-11,58.290000915527344
2012-12-12,58.29999923706055
2012-12-13,58.099998474121094
2012-12-14,58.45000076293945
2012-12-17,58.439998626708984
2012-12-18,59.29999923706055
2012-12-19,59.66999816894531
2012-12-20,60.16999816894531
2012-12-21,59.720001220703125
2012-12-26,59.709999084472656
2012-12-27,59.54999923706055
2012-12-28,59.689998626708984
2013-01-02,61.27000045776367
2013-01-03,61.91999816894531
2013-01-04,61.31999969482422
2013-01-07,60.75
2013-01-08,59.90999984741211
2013-01-09,60.25
2013-01-10,60.4900016784668
2013-01-11,60.29999923706055
2013-01-14,60.75
2013-01-15,60.52000045776367
2013-01-16,60.540000915527344
2013-01-17,61.0099983215332
2013-01-18,60.790000915527344
2013-01-21,60.75
2013-01-22,60.54999923706055
2013-01-23,60.810001373291016
2013-01-24,59.90999984741211
2013-01-28,58.88999938964844
2013-01-29,59.33000183105469
2013-01-30,58.08000183105469
2013-01-31,58.689998626708984
2013-02-01,59.060001373291016
2013-02-04,58.400001525878906
2013-02-05,58.15999984741211
2013-02-06,57.790000915527344
2013-02-07,57.189998626708984
2013-02-08,57.209999084472656
2013-02-13,57.27000045776367
2013-02-14,56.97999954223633
2013-02-15,56.70000076293945
2013-02-18,56.45000076293945
2013-02-19,56.099998474121094
2013-02-20,54.81999969482422
2013-02-21,54.83000183105469
2013-02-22,55.43000030517578
2013-02-25,55.290000915527344
2013-02-26,55.81999969482422
2013-02-27,56.130001068115234
2013-02-28,56.13999938964844
2013-03-01,55.779998779296875
2013-03-04,55.29999923706055
2013-03-05,54.900001525878906
2013-03-06,56.650001525878906
2013-03-07,57.58000183105469
2013-03-08,57.150001525878906
2013-03-11,57.529998779296875
2013-03-12,57.02000045776367
2013-03-13,56.13999938964844
2013-03-14,56.04999923706055
2013-03-15,55.630001068115234
2013-03-18,55.7599983215332
2013-03-19,55.150001525878906
2013-03-20,54.86000061035156
2013-03-21,54.459999084472656
2013-03-22,54.2599983215332
2013-03-25,53.77000045776367
2013-03-26,54.56999969482422
2013-03-27,54.91999816894531
2013-03-28,55.099998474121094
2013-04-01,54.79999923706055
2013-04-02,53.75
2013-04-03,54.45000076293945
2013-04-04,53.5
2013-04-05,54.08000183105469
2013-04-08,53.95000076293945
2013-04-09,54.72999954223633
