Date,GC=F
2013-08-26,42159.24840768699
2013-08-27,45290.14804665634
2013-08-28,44648.068536393344
2013-08-29,42543.166325982085
2013-08-30,43022.0853338204
2013-09-03,44909.977083729646
2013-09-04,42823.74729924524
2013-09-05,42435.567839101604
2013-09-06,40200.72886165017
2013-09-09,38848.866270423976
2013-09-10,36469.6564584712
2013-09-11,37006.11164280317
2013-09-12,35437.465751785814
2013-09-13,34900.56868860108
2013-09-16,35408.35178442457
2013-09-17,35474.0868675939
2013-09-18,33535.36027398939
2013-09-19,31087.525544205568
2013-09-20,31061.656077781026
2013-09-23,31509.465488211164
2013-09-24,30593.352059445075
2013-09-25,30993.784886807367
2013-09-26,32340.669553465563
2013-09-27,33635.847425770364
2013-09-30,32376.56314150825
2013-10-01,31067.31687065605
2013-10-02,31650.670261449377
2013-10-03,30281.459090262
2013-10-04,30954.7586273714
2013-10-07,31459.598047534626
2013-10-09,30899.792993065934
2013-10-10,30517.47169561319
2013-10-11,28491.32318871016
2013-10-14,28354.768161857
2013-10-15,28693.108588657873
2013-10-16,28811.183373624484
2013-10-17,29769.578430657886
2013-10-18,28532.23124302863
2013-10-21,27878.595414754298
2013-10-22,29801.178515577798
2013-10-23,29555.7495104968
2013-10-24,30848.719264154457
2013-10-25,31715.351750227546
2013-10-28,30782.609142801648
2013-10-29,30242.626451138465
2013-10-30,30579.534668020653
2013-10-31,29954.28621628925
2013-11-01,32577.589605853213
2013-11-04,33793.69443925552
2013-11-05,32977.676448202394
2013-11-06,35440.302785036794
2013-11-07,35512.70143626483
2013-11-08,36127.21511122735
2013-11-11,36430.95124700241
2013-11-12,37321.783759379396
2013-11-13,37406.2255535339
2013-11-14,37843.07688145068
2013-11-15,36737.11877950644
2013-11-18,36596.08697007229
2013-11-19,33243.45027374058
2013-11-20,33329.668568774636
2013-11-21,32942.30510996169
2013-11-22,34939.53146548723
2013-11-25,33175.367036436095
2013-11-26,33593.91709596555
2013-11-27,34266.73899586732
2013-11-29,35912.63707042524
2013-12-02,36074.299687350955
2013-12-03,37469.146937008096
2013-12-04,39579.932179725605
2013-12-05,40102.4399352063
2013-12-06,37919.240749918565
2013-12-09,35898.11803162887
2013-12-10,36383.214231000034
2013-12-11,35586.922079744516
2013-12-12,36676.558248899695
2013-12-13,36544.93776678967
2013-12-16,36394.48651907459
2013-12-17,35846.82436942838
2013-12-18,35588.35066900601
2013-12-19,35153.72431209948
2013-12-20,37035.47316599444
2013-12-23,38625.95622832199
2013-12-24,37004.026154627536
2013-12-26,37312.06371055228
2013-12-27,37234.031461571205
2013-12-30,35672.44448067388
2013-12-31,37239.251210942966
2014-01-02,37813.60884921073
2014-01-03,40049.39891695508
2014-01-06,39151.014719009356
2014-01-07,39029.812591682006
2014-01-08,38572.937285603904
2014-01-09,40244.13257822857
2014-01-10,40541.4465525929
2014-01-13,38377.73413442916
2014-01-14,38417.585939914585
2014-01-15,37862.51606917349
2014-01-16,38172.80790148635
2014-01-17,38867.789544614454
2014-01-21,37278.735319823805
2014-01-22,38291.216581087356
2014-01-23,39807.598970606254
2014-01-24,41320.38949698581
2014-01-27,41450.094778012775
2014-01-28,42792.71897926225
2014-01-29,43533.99466017931
2014-01-30,43484.19937903517
2014-01-31,41750.29872843174
2014-02-03,43393.05147748067
2014-02-04,44163.65032322587
2014-02-05,42160.93008560855
2014-02-06,41412.0930271178
2014-02-07,40499.46492639806
2014-02-10,40573.53373620286
2014-02-11,43246.42458545169
2014-02-12,43075.31595545851
2014-02-13,44379.62317736289
2014-02-14,43108.52105602442
2014-02-18,42632.2876507475
2014-02-19,42808.09354556528
2014-02-20,42902.568788780656
2014-02-21,41740.28375423786
2014-02-24,40166.34431222191
2014-02-25,40012.01025432641
2014-02-26,39740.723191940924
2014-02-27,40473.07348305527
2014-02-28,38215.30317448376
2014-03-03,40024.204767567935
2014-03-04,40185.65492511271
2014-03-05,40031.239198613584
2014-03-06,38977.08943021324
2014-03-07,38765.059272769686
2014-03-10,39916.46758259832
2014-03-11,40592.31022509872
2014-03-12,42464.107294526344
2014-03-13,42013.43407550257
2014-03-14,42856.99934301103
2014-03-17,41197.75788384626
2014-03-18,41172.34496202301
2014-03-19,39494.32003788684
2014-03-20,40205.909754080465
2014-03-21,38924.903242130094
2014-03-24,37972.660457192935
2014-03-25,37899.935257531244
2014-03-26,37055.154142566054
2014-03-27,35785.71126918441
2014-03-28,33525.6804030442
2014-03-31,33250.285495581375
2014-04-01,33934.53194425397
2014-04-02,33564.841272907855
2014-04-03,33804.39836762545
2014-04-04,35001.097584296345
2014-04-07,32145.27669095308
2014-04-08,31461.966294189962
2014-04-09,30521.001547937198
2014-04-10,29886.0391223635
2014-04-11,31110.97397776474
2014-04-14,31883.6790065538
2014-04-15,31140.062399081104
2014-04-16,32433.90673761209
2014-04-17,32458.495895417196
2014-04-21,31749.179811479105
2014-04-22,31566.7693256628
2014-04-23,32158.558737307074
2014-04-24,31226.684986160348
2014-04-25,30971.345602443227
2014-04-28,32631.493835655936
2014-04-29,31495.72467298378
2014-04-30,32224.149582195914
2014-05-01,31617.038256056385
2014-05-02,32253.418168929216
2014-05-05,31508.991385705936
2014-05-06,33073.65952812867
2014-05-07,31695.60058521665
2014-05-08,30933.137263025175
2014-05-09,30874.894895972822
2014-05-12,30766.193357543572
2014-05-13,30876.35356218562
2014-05-14,31237.032121405027
2014-05-15,30284.495604124342
2014-05-16,31164.827733859707
2014-05-19,30877.237046880957
2014-05-20,30484.644410224588
2014-05-21,30880.51499406018
2014-05-22,30616.070054057625
2014-05-23,30855.01761729889
2014-05-27,30796.428862627414
