Date,SI=F
2015-11-16,3094.0437070372136
2015-11-17,3035.065347753845
2015-11-18,2961.6059352857396
2015-11-19,2868.1351375600434
2015-11-20,2822.991464676255
2015-11-23,2630.5589421856134
2015-11-24,2739.4420436603614
2015-11-25,2644.4195298931068
2015-11-27,2736.019627503837
2015-11-30,3059.386998466649
2015-12-01,3141.578110529845
2015-12-02,3073.1922944406438
2015-12-03,3031.147240831748
2015-12-04,2886.5147174796543
2015-12-07,2832.2840397074906
2015-12-08,2814.894818756225
2015-12-09,2998.723506316383
2015-12-10,2763.7386218613033
2015-12-11,2913.5900426323105
2015-12-14,2887.8323745359858
2015-12-15,3128.1131827093827
2015-12-16,3309.199909603849
2015-12-17,3142.4928727430206
2015-12-18,3178.8659941419937
2015-12-21,3582.615307246959
2015-12-22,3703.230564614272
2015-12-23,3601.1186255747975
2015-12-24,3466.1894068267534
2015-12-28,3236.514251944986
2015-12-29,3073.8889647128995
2015-12-30,3079.731640495178
2015-12-31,3376.1685923409595
2016-01-04,3360.5185903406405
2016-01-05,3706.015401027294
2016-01-06,3670.078649632199
2016-01-07,3743.334439939904
2016-01-08,3710.5223653530516
2016-01-11,3522.822757638031
2016-01-12,3698.0969180503757
2016-01-13,3713.237899796014
2016-01-14,3566.5202595081714
2016-01-15,3575.320456029386
2016-01-19,3804.8133028331954
2016-01-20,3837.8131476716367
2016-01-21,3984.957099272491
2016-01-22,4179.427494404738
2016-01-25,3982.8212111053135
2016-01-26,4061.486165350131
2016-01-27,3950.2179691596916
2016-01-28,4036.3394257759464
2016-01-29,3892.8801589347354
2016-02-01,3657.5982544927324
2016-02-02,3509.5846466987823
2016-02-03,3713.2306158607153
2016-02-04,3405.1952092754186
2016-02-05,3367.4767246962174
2016-02-08,3560.916999161902
2016-02-09,3542.195534243132
2016-02-10,3467.6595728631983
2016-02-11,3752.222248730725
2016-02-12,3990.6840526404512
2016-02-16,3904.6393120311936
2016-02-17,4187.008710778173
2016-02-18,3874.4189067209677
2016-02-19,4031.886116622655
2016-02-22,3949.94393512543
2016-02-23,3681.810739064582
2016-02-24,3735.865833059491
2016-02-25,3708.2143555314024
2016-02-26,3582.7460279269703
2016-02-29,3680.5352117557836
2016-03-01,3820.5376055906313
2016-03-02,3549.8372610508914
2016-03-03,3462.210279359576
2016-03-04,3256.2990359163746
2016-03-07,3151.9317939905445
2016-03-08,3144.430035573655
2016-03-09,3045.266034786373
2016-03-10,2841.488364558685
2016-03-11,2662.3924464527813
2016-03-14,2525.4320026002238
2016-03-15,2722.4613744229127
2016-03-16,3048.295757812434
2016-03-17,3123.3676780020573
2016-03-18,2716.089971870916
2016-03-21,2723.60819510254
2016-03-22,2704.2571930150234
2016-03-23,2500.9450354437668
2016-03-24,2786.280441186043
2016-03-28,2797.144162307752
2016-03-29,2785.9192478932127
2016-03-30,2654.513325484487
2016-03-31,2585.452571108964
2016-04-01,2488.793624391631
2016-04-04,2369.391989625481
2016-04-05,2587.4351081502396
2016-04-06,2741.631040986676
2016-04-07,2650.1544759047247
2016-04-08,2828.9873893553477
2016-04-11,2642.114921594843
2016-04-12,2402.1813984370083
2016-04-13,2400.847184730189
2016-04-14,2408.386395827769
2016-04-15,2371.354014354081
2016-04-18,2525.9076829162477
